Country,GDP,Population,GDP_Per_Capita,Region,Life_Expectancy
Lithuania,70334,2700000.0,26049,Europe,75.0
Côte d'Ivoire,70019,,0,Africa,57.0
Costa Rica,68381,5100000.0,13408,Americas,80.0
Serbia,63502,7000000.0,9071,Europe,76.0
Slovenia,62118,2100000.0,29580,Europe,81.0
Myanmar,59364,54000000.0,1099,South-East Asia,67.0
"Congo, Dem. Rep.",58066,,0,Africa,60.0
Sudan,51662,44000000.0,1174,Africa,65.0
Jordan,47451,10000000.0,4745,Eastern Mediterranean,74.0
Tunisia,46665,12000000.0,3888,Africa,76.0
Libya,45752,7000000.0,6536,Africa,72.0
Turkmenistan,45611,6000000.0,7601,Europe,68.0
Uganda,45559,46000000.0,990,Africa,63.0
Bahrain,44391,1700000.0,26112,Eastern Mediterranean,77.0
Cameroon,44342,27000000.0,1642,Africa,58.0
Bolivia,43069,12000000.0,3589,Americas,71.0
Paraguay,41722,7200000.0,5794,Americas,74.0
Latvia,41154,1900000.0,21660,Europe,75.0
Nepal,40828,30000000.0,1360,South-East Asia,70.0
Estonia,38101,1300000.0,29308,Europe,78.0
El Salvador,32489,6500000.0,4998,Americas,74.0
Honduras,31718,10000000.0,3171,Americas,75.0
Papua New Guinea,30633,9000000.0,3403,Western Pacific,64.0
Cambodia,29957,17000000.0,1762,South-East Asia,60.0
Zambia,29784,19000000.0,1567,Africa,63.0
Cyprus,28439,1200000.0,23699,Europe,80.0
Trinidad and Tobago,27899,1400000.0,19927,Americas,73.0
Iceland,27842,360000.0,77338,Europe,83.0
Senegal,27684,17000000.0,1628,Africa,67.0
Georgia,24605,3700000.0,6650,Europe,73.0
Bosnia and Herzegovina,24528,3300000.0,7432,Europe,77.0
Lebanon,23132,7000000.0,3304,Eastern Mediterranean,79.0
"Macao SAR, China",21979,,0,Western Pacific,84.0
Guinea,21228,13000000.0,1632,Africa,61.0
Gabon,21072,2200000.0,9578,Africa,66.0
Gabon,21072,2200000.0,9578,Africa,66.0
Gabon,21072,2200000.0,9578,Africa,66.0
Gabon,21072,2200000.0,9578,Africa,66.0
Gabon,21072,2200000.0,9578,Africa,66.0
Gabon,21072,2200000.0,9578,Africa,66.0
Gabon,21072,2200000.0,9578,Africa,66.0
Gabon,21072,2200000.0,9578,Africa,66.0
Zimbabwe,20678,15000000.0,1378,Africa,61.0
Botswana,20352,2400000.0,8480,Africa,69.0
Haiti,20254,12000000.0,1687,Americas,64.0
Armenia,19503,3000000.0,6501,Europe,75.0
West Bank and Gaza,19112,5000000.0,3822,Eastern Mediterranean,74.0
Burkina Faso,18885,21000000.0,899,Africa,61.0
Albania,18882,2800000.0,6743,Europe,78.0
Mali,18827,20000000.0,941,Africa,58.0
Mozambique,17851,31000000.0,575,Africa,60.0
Malta,17765,500000.0,35530,Europe,82.0
Benin,17402,12000000.0,1450,Africa,61.0
Jamaica,17098,3000000.0,5699,Americas,74.0
Mongolia,16811,3300000.0,5094,Western Pacific,69.0
Brunei Darussalam,16682,440000.0,37913,Western Pacific,75.0
Lao PDR,15724,7300000.0,2153,Western Pacific,67.0
Nicaragua,15672,6700000.0,2339,Americas,74.0
Guyana,15358,790000.0,19440,Americas,69.0
Madagascar,14955,28000000.0,534,Africa,66.0
"Congo, Rep.",14616,,0,Africa,64.0
Afghanistan,14583,39000000.0,373,Eastern Mediterranean,64.0
Moldova,14421,2700000.0,5341,Europe,72.0
Niger,13970,24000000.0,582,Africa,62.0
North Macedonia,13563,2100000.0,6458,Europe,75.0
Rwanda,13313,13000000.0,1024,Africa,68.0
Malawi,13165,19000000.0,692,Africa,64.0
Mauritius,12898,1300000.0,9921,Africa,74.0
"Bahamas, The",12897,,0,Americas,76.0
Chad,12704,16000000.0,794,Africa,54.0
Namibia,12607,2500000.0,5042,Africa,63.0
Equatorial Guinea,11814,1400000.0,8438,Africa,58.0
Channel Islands,11736,170000.0,69035,Europe,83.0
Syrian Arab Republic,11159,18000000.0,619,Eastern Mediterranean,71.0
Kyrgyz Republic,10931,6500000.0,1681,Europe,71.0
Tajikistan,10492,9500000.0,1104,Europe,71.0
Mauritania,10375,4600000.0,2255,Africa,64.0
New Caledonia,10071,290000.0,34727,Western Pacific,77.0
Kosovo,9429,1800000.0,5238,Europe,71.0
Monaco,8596,39000.0,220410,Europe,89.0
Togo,8126,8300000.0,979,Africa,60.0
Somalia,8126,16000000.0,507,Africa,57.0
Bermuda,7551,64000.0,117984,Americas,81.0
Liechtenstein,7186,38000.0,189105,Europe,82.0
Isle of Man,6684,85000.0,78635,Europe,81.0
Maldives,6190,540000.0,11462,South-East Asia,78.0
Guam,6123,170000.0,36017,Western Pacific,79.0
Montenegro,6096,620000.0,9832,Europe,76.0
French Polynesia,6080,280000.0,21714,Western Pacific,77.0
Cayman Islands,6028,65000.0,92738,Americas,81.0
Barbados,5638,290000.0,19441,Americas,79.0
Fiji,4943,900000.0,5492,Western Pacific,67.0
Eswatini,4854,1400000.0,3467,Africa,59.0
Virgin Islands (U.S.),4204,,0,Americas,80.0
Liberia,4001,5000000.0,800,Africa,63.0
Sierra Leone,3970,8000000.0,496,Africa,54.0
Faroe Islands,3650,49000.0,74489,Europe,82.0
Suriname,3621,590000.0,6137,Americas,71.0
Djibouti,3515,1000000.0,3515,Africa,67.0
Andorra,3352,77000.0,43532,Europe,82.0
Greenland,3236,56000.0,57785,Americas,71.0
Timor-Leste,3163,1300000.0,2433,South-East Asia,73.0
Aruba,3126,110000.0,28418,Americas,76.0
Burundi,3073,12000000.0,256,Africa,61.0
Belize,2824,400000.0,7060,Americas,74.0
Curaçao,2700,,0,Americas,78.0
Lesotho,2553,2200000.0,1160,Africa,54.0
Bhutan,2540,770000.0,3298,South-East Asia,71.0
Central African Republic,2383,4800000.0,496,Africa,53.0
Cabo Verde,2315,560000.0,4133,Africa,73.0
"Gambia, The",2273,,0,Africa,61.0
St. Lucia,2065,180000.0,11472,Americas,76.0
San Marino,1855,34000.0,54558,Europe,83.0
Antigua and Barbuda,1758,98000.0,17938,Americas,76.0
Guinea-Bissau,1634,2000000.0,817,Africa,58.0
Solomon Islands,1596,700000.0,2280,Western Pacific,73.0
Seychelles,1588,98000.0,16204,Africa,73.0
Sint Maarten (Dutch part),1572,,0,Americas,78.0
Grenada,1256,110000.0,11418,Americas,72.0
Comoros,1243,870000.0,1428,Africa,64.0
Turks and Caicos Islands,1139,38000.0,29973,Americas,80.0
Vanuatu,984,310000.0,3174,Western Pacific,70.0
St. Kitts and Nevis,962,53000.0,18150,Americas,76.0
St. Vincent and the Grenadines,949,110000.0,8627,Americas,72.0
Northern Mariana Islands,858,57000.0,15052,Western Pacific,76.0
Samoa,832,200000.0,4160,Western Pacific,73.0
American Samoa,709,55000.0,12890,Western Pacific,75.0
Dominica,612,72000.0,8500,Americas,75.0
São Tomé and Principe,547,,0,Africa,70.0
Tonga,469,,0,Western Pacific,70.0
"Micronesia, Fed. Sts.",427,,0,Western Pacific,67.0
Marshall Islands,280,,0,Western Pacific,73.0
Kiribati,223,,0,Western Pacific,68.0
Palau,218,,0,Western Pacific,73.0
Nauru,151,,0,Western Pacific,67.0
Tuvalu,60,,0,Western Pacific,66.0
Venezuela,482400,28000000.0,17228,Americas,76.0
Central African Rep.,2500,4800000.0,520,Africa,53.0
Dem. Rep. Congo,55000,90000000.0,611,Africa,60.0
Gabon,20220,2200000.0,9190,Africa,66.0
Gabon,20220,2200000.0,9190,Africa,66.0
Gabon,20220,2200000.0,9190,Africa,66.0
Gabon,20220,2200000.0,9190,Africa,66.0
Gabon,20220,2200000.0,9190,Africa,66.0
Gabon,20220,2200000.0,9190,Africa,66.0
Gabon,20220,2200000.0,9190,Africa,66.0
Gabon,20220,2200000.0,9190,Africa,66.0
Congo,5350,5500000.0,972,Africa,64.0
Iran,359700,84000000.0,4282,Eastern Mediterranean,76.0
Iran,359700,84000000.0,4282,Eastern Mediterranean,76.0
Turkey,819000,84000000.0,9750,Europe,77.0
Turkey,819000,84000000.0,9750,Europe,77.0
Egypt,404100,104000000.0,3885,Eastern Mediterranean,71.0
Egypt,404100,104000000.0,3885,Eastern Mediterranean,71.0
Czechia,281800,11000000.0,25618,Europe,79.0
Slovakia,116500,5400000.0,21574,Europe,78.0
Slovakia,116500,5400000.0,21574,Europe,78.0
Dominican Rep.,94240,11000000.0,8567,Americas,74.0
S. Sudan,12000,11000000.0,1090,Africa,57.0
Eritrea,2065,3500000.0,590,Africa,66.0
Somaliland,1600,3500000.0,457,Africa,58.0
Yemen,26980,30000000.0,899,Eastern Mediterranean,66.0
Syria,64000,18000000.0,3555,Eastern Mediterranean,71.0
Kyrgyzstan,21000,6500000.0,3230,Europe,71.0
Laos,18000,7300000.0,2465,Western Pacific,67.0
North Korea,40000,25000000.0,1600,Western Pacific,72.0
South Korea,1640000,52000000.0,31538,Western Pacific,83.0
Taiwan,602000,24000000.0,25083,Western Pacific,80.0
W. Sahara,906,600000.0,1510,Africa,70.0
Bosnia and Herz.,19500,3300000.0,5909,Europe,77.0
Macedonia,10600,2100000.0,5047,Europe,75.0
